序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别,2、您的年龄段,3、您的常住地,4、您是否为澳门大学在读学生,5、您日常刷短视频的频率,6、您是否听说过以下热梗—操/草/我靠/wc,6、老己/爱你老己,6、不知道，我的身材很曼妙～,6、你/我已急哭,6、洗衣粉儿,6、心理委员我不得劲儿,6、我不行了,7、您获取网络热梗的主要渠道有哪些,8、您日常是否会使用以下热梗—操/草/我靠/wc,8、老己/爱你老己,8、不知道，我的身材很曼妙～,8、你/我已急哭,8、洗衣粉儿,8、心理委员我不得劲儿,8、我不行了,9、您通常在哪些场景下会使用网络热梗,10、您认为网络热梗对您的日常交流有何影响
1,2026/3/19 15:35:05,51秒,微信,N/A,202.175.105.116(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,有印象,有印象,没听过,没听过,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,从来不用,从来不用,从来不用,从来不用,有时会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）,无影响
2,2026/3/19 16:09:20,71秒,微信,N/A,125.31.54.83(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,经常刷/听到,有印象,有印象,经常刷/听到,有印象,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,经常会用,线下闲聊┋线上私聊（微信、QQ等）,有积极影响
3,2026/3/19 18:28:28,68秒,微信,N/A,125.31.54.85(澳门-澳门半岛),女,18～30岁,中国大陆,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,有时会用,从来不用,从来不用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
4,2026/3/19 18:43:45,49秒,微信,N/A,117.136.108.62(江西-抚州),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,从来不用,从来不用,有时会用,从来不用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
5,2026/3/19 18:46:15,61秒,微信,N/A,113.52.109.51(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,有时会用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
6,2026/3/19 18:46:48,48秒,微信,N/A,36.112.206.34(北京-北京),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,没听过,没听过,没听过,没听过,经常刷/听到,短视频平台┋新闻资讯,从来不用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊,无影响
7,2026/3/19 18:47:42,41秒,微信,N/A,149.102.98.51(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,经常会用,从来不用,从来不用,有时会用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
8,2026/3/19 18:48:18,45秒,微信,N/A,120.230.97.163(广东-广州),女,18岁以下,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
9,2026/3/19 18:48:58,47秒,微信,N/A,202.175.67.186(澳门-未知),男,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,从来不用,从来不用,从来不用,从来不用,有时会用,经常会用,工作沟通┋游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
10,2026/3/19 18:49:42,120秒,微信,N/A,223.73.72.145(广东-珠海),女,18～30岁,中国大陆,否,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,有时会用,从来不用,有时会用,从来不用,从来不用,经常会用,工作沟通┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
11,2026/3/19 18:50:37,47秒,微信,N/A,183.36.237.195(广东-广州),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,从来不用,从来不用,经常会用,从来不用,有时会用,经常会用,游戏交流┋线上私聊（微信、QQ等）,无影响
12,2026/3/19 18:51:45,53秒,微信,N/A,202.175.67.183(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,有时会用,有时会用,从来不用,从来不用,有时会用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
13,2026/3/19 18:52:46,85秒,微信,N/A,103.143.93.141(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件,从来不用,有时会用,从来不用,有时会用,从来不用,有时会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
14,2026/3/19 18:55:13,59秒,微信,N/A,125.31.54.85(澳门-澳门半岛),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,经常会用,经常会用,从来不用,经常会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）┋社交媒体互动（发帖、评论、转发等）,无影响
15,2026/3/19 18:57:29,91秒,微信,N/A,103.143.93.39(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,从来不用,有时会用,有时会用,从来不用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
16,2026/3/19 18:57:35,33秒,微信,N/A,183.46.197.153(广东-汕头),男,18～30岁,中国大陆,否,有时,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,经常会用,从来不用,从来不用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）,无影响
17,2026/3/19 18:59:33,81秒,微信,N/A,149.102.98.27(澳门-未知),女,18～30岁,中国大陆,是,有时,经常刷/听到,有印象,有印象,经常刷/听到,没听过,有印象,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,从来不用,从来不用,有时会用,从来不用,有时会用,有时会用,游戏交流┋线上私聊（微信、QQ等）,有负面影响
18,2026/3/19 18:59:34,37秒,微信,N/A,223.104.85.146(广东-珠海),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋日常交流,从来不用,经常会用,从来不用,经常会用,从来不用,从来不用,经常会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有负面影响
19,2026/3/19 19:02:05,53秒,微信,N/A,149.102.98.201(澳门-未知),女,18～30岁,中国大陆,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋日常交流┋综艺节目,经常会用,经常会用,从来不用,有时会用,有时会用,有时会用,经常会用,线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,有积极影响
20,2026/3/19 19:05:16,74秒,微信,N/A,161.29.17.202(国外-新西兰),女,18～30岁,其他国家,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,经常会用,有时会用,有时会用,有时会用,有时会用,有时会用,经常会用,游戏交流┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
21,2026/3/19 19:06:03,91秒,微信,N/A,202.175.67.187(澳门-未知),女,18～30岁,港澳台地区,是,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋日常交流,从来不用,从来不用,有时会用,从来不用,从来不用,有时会用,经常会用,线下闲聊┋社交媒体互动（发帖、评论、转发等）,有积极影响
22,2026/3/19 19:10:08,36秒,微信,N/A,120.211.174.92(河北-衡水),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,有印象,经常刷/听到,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,线下闲聊┋线上私聊（微信、QQ等）,有积极影响
23,2026/3/19 19:11:52,57秒,微信,N/A,202.175.67.180(澳门-未知),女,18～30岁,中国大陆,是,有时,经常刷/听到,经常刷/听到,经常刷/听到,有印象,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流,有时会用,有时会用,从来不用,从来不用,从来不用,有时会用,经常会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋社交媒体互动（发帖、评论、转发等）,无影响
24,2026/3/19 19:12:32,83秒,微信,N/A,14.145.14.248(广东-广州),女,18～30岁,中国大陆,否,经常,经常刷/听到,经常刷/听到,经常刷/听到,经常刷/听到,没听过,经常刷/听到,经常刷/听到,短视频平台┋社交软件┋日常交流┋综艺节目,经常会用,从来不用,从来不用,从来不用,从来不用,从来不用,有时会用,游戏交流┋线下闲聊┋线上私聊（微信、QQ等）┋特殊场合（体育赛事、演唱会等）,无影响
